Color,Type,2024 Shade(s),2025 Shade(s)
Red,"Cherry, brick, maroon, wine","Radiant, Fiery",Cinnamon Slate
Orange,"Coral, peach, rust, burnt orange",Apricot Crush,Spiced Cider
Yellow,"Lemon, mustard, gold",Sunlight,"Butter Yellow, Candle"
Green,"Olive, emerald, mint, forest green",Botanical Greens,"Rosepine, Sprig/Saybrook Sage"
Blue,"Sky blue, navy, cobalt teal",Blue Nova,"Quietude, Midnight/Compass Blue"
Purple,"Lavender, plum, vilote, mauve",Digital Lavender,"Purple Basil, Amethyst Glow"
Pink,"Blush, fuensia, rose, hot pink",Icy/Blush,"Fondant Pink, Guava Pink"
Brown,"Tan, chocolate, camel, coffee",Rich Brown,Mocha Mousse
Gray,"Charcoal, clove, ash, gray",Charcoal Gray,Sustained Grey
Black,"Jet black, faded black",Cracked Pepper,"Black Elegance, Inky Black"
White,"pure white, ivory, cream",White Dove,Inviting Whites
Metallics,"Gold, silver, bronze, copper",Silver,"Chrome, Unlacquered Brass"
