Gender,Body Type,Occasion,Tops/Dresses,Bottoms,Outerwear/Suits,Trending Colors (2025/2024),Recommended Fabrics
Female,Hourglass,Casual,"Wrap tops, crop tees, fit & flare dresses","High-waisted jeans, pencil skirts","Belted jackets, cropped denim","Rose Violet, Honey Beige, Midnight Plum","Jersey, Cotton Blend, Crepe"
,,Formal,"Bodycon dresses, tailored shirts with waist","Tailored trousers, pencil skirts",Structured blazers,"Navy Blazer, Almond Milk, Storm Blue","Stretch Wool, Tencel"
,,Ethnic,"Fitted choli, belted lehenga, saree with belt",Flowy lehenga skirts,Embroidered dupatta,"Vibrant Saffron, Cool Aqua, Dusty Lilac","Silk, Organza, Georgette"
,Pear (Triangle),Casual,"Puff sleeves, boat necks, off-shoulder tops","A-line skirts, wide-leg pants",Cropped denim jackets,"Watercress, Buttered Popcorn, Mint","Cotton, Linen Blend"
,,Formal,"Peplum tops, embellished blouses",Bootcut or flared trousers,Blazer with shoulder padding,"Coral Rose, Chive Blossom","Satin, Ponte Knit"
,,Ethnic,"Shoulder-embellished cholis, short kurtis",Flared lehengas,"Heavy dupattas, cape styles","Jade Green, Blush Pink, Antique Gold","Brocade, Chanderi, Silk Blend"
,Apple (Round),Casual,"Empire waist tunics, V-necks",Straight-leg pants,"Longline cardigans, duster coats","Marshmallow, Ice Gray, Earthy Peach","Rayon, Modal"
,,Formal,Shift or wrap dresses,High-rise straight trousers,Open structured coats,"Slate Gray, Burgundy, Teal Bay","Crepe, Ponte, Satin Blend"
,,Ethnic,Anarkali suits with empire waist,Palazzo pants,Flowy dupattas,"Mulberry, Pale Mauve, Cyan Sky","Cotton Silk, Muslin, Chiffon"
,Rectangle,Casual,"Ruffled blouses, belted tops, peplum styles","Flared jeans, paper-bag waist pants",Short jackets,"Peach Pink, Deep Teal, Butter Yellow","Denim, Linen"
,,Formal,"Peplum blazers, tiered or belted dresses",High-waist straight pants,Structured long coats,"Lavender Fog, Cool Graphite","Jacquard, Twill"
,,Ethnic,"Voluminous lehengas, tiered kurtis",Heavy flare skirts,Structured dupattas,"Sky Blue, Papaya Orange, Orchid","Net, Georgette, Raw Silk"
,Inverted Triangle,Casual,"V-neck tees, raglan sleeves","Wide-leg jeans, flared skirts","Flared jackets, bomber styles","Powder Blue, Lemon Meringue, Warm Beige","Cotton Twill, Rib Knit"
,,Formal,Bias-cut or A-line dresses,Flowy trousers,Soft-shoulder coats,"Basil Green, Cloud White, Dusty Mauve","Satin, Soft Knit"
,,Ethnic,Simple choli with heavy lehenga,Embroidered flare skirts,Cape dupattas or jackets,"Mint, Fuchsia, Dusk Gold","Banarasi, Velvet Blend"
,,,,,,,
Male,Ectomorph,Casual,"Layered tees, horizontal stripes, crew necks","Slim-fit joggers, tapered jeans","Utility jackets, puffers","Flame Orange, Violet Indigo, Cool Clay","Cotton, Fleece"
,,Formal,"Textured shirts, patterned button-ups","Slim chinos, fitted trousers",Double-breasted blazers,"Deep Pine, Heather Gray, Navy","Stretch Wool, Poplin"
,,Ethnic,Short kurtas with Nehru jackets,Tapered churidars,Printed or textured waistcoats,"Amber Gold, Midnight Navy","Silk Cotton, Jacquard"
,Mesomorph,Casual,"Polos, fitted Henleys","Athletic cut jeans, tailored joggers","Bomber jackets, leather styles","Steel Blue, Warm Tan, Moss","Cotton, Denim"
,,Formal,"Slim-fit shirts, half-button sweaters","Chinos, structured pants",Tailored suits,"Slate, Deep Red, Classic Black","Wool Blend, Poplin"
,,Ethnic,"Bandhgala, kurta with structured vest",Straight-cut pajama,Tailored sherwani,"Ash Gray, Royal Blue, Maroon","Brocade, Raw Silk"
,Endomorph,Casual,"Vertical stripes, V-necks, dark solid shirts","Straight-cut jeans, flat-front pants","Long jackets, soft shoulder blazers","Smoked Charcoal, Olive, Soft Navy","Stretch Cotton, Bamboo Knit"
,,Formal,"Clean button-downs, subtle patterns",Mid-rise trousers,Single-button jackets,"Espresso Brown, Dust Blue, Graphite Gray","Cotton-Wool Blend, Jersey"
,,Ethnic,"Monotone kurtas, structured sherwanis",Pajama or churidar pants,Lightweight jackets or shawls,"Burnt Sienna, Deep Emerald, Silver","Cotton Silk, Linen Blend"
